User_ID,Age,Gender,Occupation,Device_Type,Daily_Phone_Hours,Social_Media_Hours,Work_Productivity_Score,Sleep_Hours,Stress_Level,App_Usage_Count,Caffeine_Intake_Cups,Weekend_Screen_Time_Hours
u117,45,female,student,ios,2.6,3.6,9,4.3,7,28,0,6.5
u118,55,other,freelancer,android,4.9,6.7,10,6.7,6,53,1,2.9
u119,43,other,student,ios,8.4,7.1,6,6.4,9,15,3,5.9
u120,41,male,professional,android,7.2,1.6,4,8.9,10,16,3,12.9
u121,32,female,student,android,5.5,7.2,3,5.8,1,43,5,9.3
u122,26,female,student,ios,5.8,4.3,4,4.8,5,45,0,2.5
u123,50,female,business owner,android,3.9,7.5,1,4.6,2,12,1,7.9
u124,49,female,professional,ios,6.2,3.8,8,8.7,8,20,5,10.9
u125,23,male,freelancer,ios,3.7,1.7,10,7.4,5,10,0,6.0
u126,21,male,student,android,5.2,4.0,7,6.8,10,26,4,2.3
u127,25,female,business owner,android,9.1,3.7,8,7.9,9,16,3,7.7
u128,27,other,student,android,10.6,1.6,7,4.2,6,29,4,4.4
u129,58,male,professional,ios,9.4,7.4,5,7.6,2,51,3,9.4
u130,28,male,professional,ios,5.9,4.6,5,9.0,1,53,4,6.3
u131,45,female,business owner,ios,2.3,3.4,10,5.6,4,48,1,8.4
u132,56,male,professional,android,5.6,6.1,1,6.4,10,29,6,10.3
u133,22,female,professional,android,1.9,4.5,1,7.5,7,12,6,12.4
u134,42,male,business owner,ios,9.3,3.5,3,7.7,7,14,1,4.3
u135,42,female,student,ios,5.1,0.8,7,8.6,5,6,1,13.9
u136,56,female,student,android,3.1,1.4,7,7.7,10,57,5,4.8
u137,47,female,freelancer,android,10.0,7.6,6,8.1,6,19,5,5.5
u138,51,female,business owner,android,7.8,3.7,4,7.4,3,58,1,11.2
u139,34,male,business owner,android,4.2,1.5,6,7.4,10,8,1,5.5
u140,53,other,business owner,android,2.5,3.3,1,8.0,9,51,2,9.0
u141,18,male,business owner,android,3.3,6.8,1,8.6,5,59,4,12.0
u142,25,male,freelancer,ios,11.2,1.0,8,4.1,8,52,4,8.7
u143,52,female,professional,android,2.4,4.1,6,7.0,6,21,2,7.3
u144,35,other,professional,android,7.8,3.0,7,4.2,5,51,3,5.2
u145,59,male,business owner,ios,7.2,5.3,9,5.2,5,6,1,6.2
u146,39,male,freelancer,ios,5.0,1.4,9,5.9,3,34,2,5.7
u147,25,male,student,android,2.5,5.1,7,8.2,9,5,1,9.6
u148,36,other,business owner,android,6.2,1.4,5,6.4,7,36,0,8.8
u149,45,female,student,ios,4.8,1.9,1,7.2,2,15,6,10.9
u150,28,male,freelancer,ios,2.8,2.8,9,8.6,6,43,2,9.3
u151,47,other,business owner,ios,6.9,6.5,1,5.0,7,56,0,3.0
u152,18,female,freelancer,ios,3.4,4.8,1,4.9,1,16,4,9.1
u153,34,female,freelancer,ios,8.0,3.6,8,7.4,6,52,1,12.5
u154,50,male,professional,android,9.8,3.6,8,4.6,10,59,5,7.3
u155,29,male,professional,ios,7.5,5.9,4,5.6,9,24,0,8.5
u156,50,other,student,ios,5.8,1.0,7,7.7,4,37,3,8.6
u157,24,other,professional,android,3.1,6.7,5,6.2,2,16,2,12.8
u158,58,female,professional,ios,5.2,3.2,2,5.7,6,19,6,6.7
u159,37,female,freelancer,android,5.3,3.2,7,9.0,7,52,1,4.7
u160,58,male,student,ios,3.9,4.5,10,8.1,9,15,1,11.3
u161,50,other,student,ios,11.9,0.7,8,6.5,10,15,3,9.2
u162,56,female,professional,android,5.0,2.9,2,5.7,10,30,5,13.5
u163,30,male,professional,ios,4.9,7.5,5,6.3,3,27,3,11.9
u164,27,female,professional,android,2.1,7.1,7,5.0,1,41,0,6.5
u165,41,female,student,android,8.2,7.7,1,8.1,1,24,2,5.4
u166,28,male,student,ios,2.4,7.8,7,6.1,7,41,2,5.7
u167,52,female,student,android,11.5,6.2,3,4.2,5,27,5,2.8
u168,51,female,student,android,3.9,0.6,2,8.8,3,55,3,8.7
u169,18,other,professional,android,2.3,0.8,7,4.4,1,55,6,11.5
u170,56,other,freelancer,android,11.0,7.3,1,6.1,3,40,1,8.4
u171,38,other,professional,android,5.1,6.9,9,6.6,2,56,2,6.1
u172,49,male,freelancer,ios,2.5,4.3,7,4.3,1,56,5,10.4
u173,19,other,student,android,5.8,4.0,9,8.8,8,26,4,8.9
u174,25,female,freelancer,android,11.1,1.2,2,5.2,1,10,5,2.1
u175,41,other,professional,android,11.6,7.6,7,6.6,2,12,2,2.6
u176,37,other,professional,ios,10.3,7.8,9,4.9,6,18,3,3.9
u177,33,male,student,android,3.7,5.6,5,6.5,3,57,2,3.3
u178,21,other,professional,ios,5.1,4.7,8,5.0,8,11,2,12.9
u179,33,male,student,android,5.3,1.3,6,6.6,7,31,2,10.9
u180,54,female,freelancer,android,7.9,2.2,1,4.4,3,51,1,12.5
u181,23,male,student,android,3.8,6.5,10,6.1,3,41,4,7.3
u182,23,female,student,android,10.2,2.9,2,5.0,8,49,3,9.6
u183,49,male,student,ios,3.6,2.2,2,4.6,5,50,2,11.8
u184,22,male,student,ios,5.9,5.6,8,4.9,2,52,2,7.7
u185,52,female,freelancer,ios,2.7,5.2,6,7.4,1,23,3,11.6
u186,26,male,student,ios,2.2,1.5,5,4.0,4,25,6,5.4
u187,26,male,business owner,ios,6.1,6.6,4,4.9,5,29,3,4.9
u188,60,female,business owner,ios,6.0,7.2,6,7.9,9,40,5,12.5
u189,48,male,freelancer,android,2.5,2.9,1,6.7,8,46,5,8.2
u190,53,other,professional,android,3.6,4.5,9,4.4,4,42,5,11.6
u191,28,other,freelancer,ios,2.0,7.4,6,5.4,4,18,3,4.6
u192,34,male,business owner,ios,1.4,2.2,9,8.1,1,25,4,2.8
u193,51,other,student,android,3.3,4.3,7,5.9,6,41,0,13.3
u194,56,other,freelancer,android,3.0,7.6,4,6.8,3,39,0,9.0
u195,45,male,student,ios,2.8,4.9,5,7.7,1,33,4,5.1
u196,31,female,student,ios,4.5,5.6,5,7.4,2,30,0,7.2
u197,52,other,student,ios,5.0,3.3,9,5.7,10,54,2,5.3
u198,30,male,freelancer,ios,4.0,3.0,4,8.1,1,43,3,4.6
u199,37,other,freelancer,android,8.4,5.0,4,8.6,3,49,1,3.6
u200,43,male,professional,ios,8.4,1.0,8,8.6,4,26,4,7.9
u201,60,male,business owner,android,5.1,3.1,2,8.9,9,53,5,13.8
u202,59,female,student,ios,2.5,2.8,5,7.8,4,17,3,13.6
u203,41,female,business owner,ios,5.3,1.4,10,8.4,3,17,1,6.8
u204,46,male,professional,ios,1.8,4.5,6,8.5,6,5,4,11.9
u205,51,female,student,ios,5.5,4.8,9,7.4,1,13,6,9.6
u206,46,male,business owner,android,6.6,1.7,7,8.6,5,11,5,12.5
u207,25,male,freelancer,ios,7.5,6.0,2,8.3,7,15,5,9.6
u208,33,male,freelancer,android,3.4,7.3,2,4.4,10,10,2,6.4
u209,32,female,business owner,ios,7.2,7.2,6,4.2,9,13,3,3.7
u210,22,male,student,ios,1.9,5.7,4,6.4,3,58,6,4.2
u211,39,female,business owner,ios,2.5,4.3,9,6.8,8,48,5,7.2
u212,19,female,freelancer,ios,11.1,5.4,5,5.5,1,6,5,12.6
u213,55,other,freelancer,ios,11.4,2.1,1,5.2,3,13,1,7.1
u214,53,female,professional,android,4.3,7.2,8,7.4,4,57,1,14.0
u215,32,female,professional,ios,3.1,3.4,3,5.1,9,59,2,7.1
u216,55,female,freelancer,android,7.0,5.9,9,5.3,2,52,2,6.7
u217,32,female,freelancer,android,11.1,1.2,10,6.0,1,13,4,7.6
u218,18,other,business owner,ios,1.1,6.4,6,5.3,7,36,3,6.1
u219,22,female,business owner,android,8.5,3.5,5,7.0,2,5,2,12.5
u220,58,other,professional,android,7.2,5.6,3,6.8,10,42,4,10.1
u221,21,other,student,ios,4.5,3.0,10,4.3,10,27,0,6.1
u222,32,male,business owner,android,3.1,7.9,1,4.6,5,14,6,13.1
u223,22,other,student,ios,6.5,6.9,2,4.4,7,17,1,7.7
u224,20,other,student,android,2.6,2.0,10,7.1,3,23,3,4.2
u225,39,female,business owner,android,7.3,2.3,6,7.8,5,52,1,8.8
u226,22,female,business owner,ios,2.0,6.9,4,6.6,10,19,0,7.2
u227,50,other,freelancer,android,10.9,7.8,5,7.0,8,15,4,13.8
u228,33,female,student,ios,9.6,5.8,7,5.3,8,59,5,2.5
u229,35,other,business owner,android,10.3,2.9,7,8.8,8,41,0,3.6
u230,60,other,freelancer,android,2.5,6.5,8,6.3,2,20,6,2.8
u231,49,female,business owner,android,4.9,5.0,9,5.3,4,29,3,13.6
u232,31,female,student,ios,10.3,1.7,3,7.8,3,42,0,10.1
u233,52,other,student,ios,4.8,3.4,8,6.1,10,12,3,8.9
u234,26,other,freelancer,android,5.6,7.8,3,7.9,2,15,0,2.0
u235,54,male,professional,android,10.3,7.6,7,7.6,1,45,3,11.4
u236,54,other,freelancer,ios,8.5,5.8,3,5.2,7,37,4,12.5
u237,48,female,student,ios,2.2,2.0,9,7.7,5,21,1,10.7
u238,33,female,business owner,android,6.2,6.4,8,4.6,1,29,1,2.6
u239,48,other,professional,ios,6.0,5.6,8,7.8,5,41,0,9.9
u240,44,other,freelancer,ios,2.9,3.3,7,6.7,3,26,6,3.5
u241,30,male,freelancer,ios,10.1,0.9,1,5.3,6,50,6,13.6
u242,24,male,student,android,3.1,2.6,1,8.0,1,40,2,8.5
u243,24,male,business owner,android,8.6,6.1,2,8.0,8,57,0,8.2
u244,60,female,business owner,android,4.8,7.5,6,4.8,1,46,2,6.1
u245,45,female,freelancer,ios,10.7,2.4,1,5.5,1,54,6,7.1
u246,40,female,professional,ios,6.7,1.8,3,4.6,2,10,1,10.9
u247,45,other,student,ios,4.3,6.1,6,6.5,9,23,2,4.2
u248,44,female,freelancer,android,10.0,1.8,2,8.3,8,60,1,2.5
u249,47,male,freelancer,android,3.4,3.3,4,7.0,6,25,2,10.2
u250,21,other,freelancer,ios,5.0,5.6,8,6.1,9,13,1,13.6
u251,59,female,business owner,android,2.6,0.5,8,8.8,8,44,1,3.4
u252,59,female,business owner,ios,3.1,4.9,8,7.3,1,59,2,10.0
u253,24,other,freelancer,ios,10.6,7.3,10,4.7,1,18,2,8.8
u254,21,female,student,ios,7.3,2.6,8,8.5,8,15,1,5.4
u255,43,other,business owner,android,4.3,3.2,1,7.9,9,30,5,9.7
u256,39,other,professional,ios,5.3,5.9,6,5.3,3,11,0,12.1
u257,24,male,professional,ios,3.1,2.9,5,8.1,3,56,4,9.5
u258,33,other,freelancer,android,4.9,3.7,4,4.8,3,29,5,4.1
u259,30,female,professional,android,2.7,2.4,7,4.8,5,26,3,14.0
u260,30,male,professional,ios,3.4,3.1,10,4.8,4,58,4,7.0
u261,52,female,freelancer,ios,11.7,4.8,7,5.5,8,15,2,6.6
u262,46,other,student,ios,1.6,6.8,1,7.6,9,59,1,4.4
u263,26,female,freelancer,ios,2.6,7.7,4,4.6,7,39,3,12.5
u264,45,female,student,android,7.2,4.1,6,6.0,6,29,2,2.5
u265,29,other,student,android,7.6,4.0,6,7.3,3,51,4,3.7
u266,35,other,professional,android,10.1,7.6,2,7.6,2,12,2,2.0
u267,47,male,business owner,ios,2.9,4.8,3,7.7,3,54,4,6.1
u268,33,male,freelancer,ios,3.6,6.2,5,9.0,4,36,0,12.0
u269,22,male,student,ios,11.0,3.4,10,8.9,4,55,2,9.4
u270,46,male,business owner,android,4.4,2.5,6,5.5,7,11,1,13.7
u271,53,male,professional,android,1.1,6.8,5,4.5,8,36,0,4.8
u272,24,female,business owner,ios,10.1,5.2,8,4.8,6,48,0,11.5
u273,21,male,freelancer,android,9.3,2.7,8,7.2,2,23,3,12.7
u274,59,other,professional,android,10.9,7.2,9,7.6,10,43,3,2.3
u275,52,other,student,ios,9.5,1.7,3,6.6,3,41,5,3.0
u276,18,male,freelancer,ios,6.9,4.3,8,6.6,10,41,3,3.5
u277,23,male,business owner,ios,10.4,5.9,5,6.8,2,13,6,8.9
u278,33,female,business owner,android,2.9,6.3,8,4.2,8,38,6,9.9
u279,28,female,student,android,1.8,7.0,2,4.8,7,21,3,7.1
u280,44,other,freelancer,ios,3.3,0.7,5,7.2,3,59,5,5.3
u281,49,male,professional,ios,10.6,5.3,1,5.2,4,58,1,6.1
u282,48,female,professional,ios,2.0,5.8,10,7.9,10,37,6,9.0
u283,31,male,student,ios,11.9,6.1,2,7.5,2,40,0,5.0
u284,43,female,business owner,ios,8.4,5.6,4,7.8,7,34,5,5.2
u285,21,male,freelancer,ios,5.3,2.8,8,8.1,4,19,3,13.7
u286,28,male,business owner,android,8.5,2.5,5,7.2,9,7,3,6.2
u287,42,other,freelancer,android,9.0,3.8,10,5.2,5,31,4,3.7
u288,18,other,business owner,android,5.6,3.3,8,4.7,10,35,6,6.3
u289,42,other,professional,android,5.6,7.6,5,4.3,6,13,6,11.4
u290,34,male,professional,ios,5.4,0.6,8,6.9,5,12,4,9.0
u291,47,male,freelancer,android,10.0,3.5,3,6.7,5,8,6,2.5
u292,36,male,business owner,ios,10.7,6.8,6,7.0,1,35,5,3.1
u293,45,male,student,ios,3.2,0.9,1,4.0,2,55,4,5.4
u294,53,other,professional,ios,9.0,7.6,10,8.4,8,13,2,10.5
u295,60,female,business owner,ios,6.2,2.0,3,6.1,3,29,1,3.5
u296,49,other,business owner,ios,8.6,5.5,7,6.0,2,15,1,8.7
u297,27,other,student,android,2.4,1.5,6,8.3,3,19,5,6.9
u298,30,male,business owner,ios,7.9,7.0,5,8.1,9,18,6,10.8
u299,36,other,business owner,android,8.5,3.4,3,7.9,1,5,2,11.0
u300,31,male,student,ios,8.8,1.7,4,4.6,9,59,5,2.4
u301,21,male,professional,android,6.4,3.6,7,6.4,3,55,5,8.9
u302,55,female,student,ios,10.8,1.0,2,4.3,10,44,5,11.0
u303,52,female,student,ios,7.4,7.3,9,7.3,1,27,1,12.5
u304,21,female,professional,ios,7.8,1.1,3,5.1,1,38,6,5.5
u305,38,other,student,ios,1.4,1.8,2,8.5,9,52,5,11.4
u306,21,male,business owner,android,11.4,0.6,3,8.0,8,15,0,7.8
u307,21,male,freelancer,android,6.1,5.0,1,5.9,3,59,0,7.7
u308,55,male,student,android,11.5,6.1,5,8.3,9,27,1,6.2
u309,48,female,professional,ios,7.4,1.3,3,4.2,3,14,5,14.0
u310,50,male,professional,ios,2.0,5.6,8,7.0,8,59,6,8.8
u311,51,other,business owner,android,5.6,6.9,3,7.2,8,33,4,4.2
u312,28,male,freelancer,android,10.6,7.6,4,7.5,3,41,0,11.5
u313,21,male,student,ios,8.8,6.7,7,6.5,10,34,6,5.6
u314,50,other,student,ios,8.3,3.0,5,4.7,10,49,3,13.5
u315,23,male,professional,android,4.2,1.0,6,6.3,9,18,5,8.7
u316,29,other,student,ios,1.5,3.4,2,6.1,9,52,0,13.7
u317,22,other,student,android,10.9,6.6,7,5.2,6,14,2,6.4
u318,56,other,freelancer,ios,11.5,6.6,5,7.0,10,5,2,8.5
u319,22,other,business owner,android,7.9,5.6,1,5.4,1,48,3,4.9
u320,33,other,professional,android,6.0,1.4,4,8.4,10,21,4,4.6
u321,43,other,freelancer,ios,6.2,2.3,6,4.3,10,49,1,8.7
u322,25,female,freelancer,ios,4.4,1.2,3,7.6,10,57,1,4.4
u323,54,male,professional,ios,5.0,7.9,3,4.6,8,46,2,11.7
u324,33,male,professional,android,7.8,1.5,5,5.2,7,29,0,8.2
u325,55,male,student,android,9.7,1.0,2,8.5,10,14,4,5.7
u326,56,female,business owner,ios,9.0,5.2,7,7.2,8,60,0,10.2
u327,20,female,freelancer,ios,4.9,7.9,3,4.3,10,21,5,4.1
u328,57,other,professional,android,6.2,3.5,6,7.7,5,31,3,13.6
u329,23,male,student,ios,2.5,6.4,7,8.1,5,42,6,13.1
u330,44,other,business owner,ios,11.5,7.2,6,8.4,6,22,2,12.1
u331,60,female,business owner,android,1.1,4.4,3,9.0,7,46,5,12.2
u332,55,other,freelancer,ios,4.4,3.4,3,6.9,7,48,6,9.7
u333,54,male,business owner,ios,5.0,0.9,4,4.4,1,37,3,6.3
u334,51,female,student,android,6.9,3.9,6,7.8,9,55,4,2.8
u335,38,female,professional,android,1.5,2.4,8,7.3,1,45,1,10.2
u336,34,male,freelancer,ios,7.6,1.9,5,7.5,7,54,5,12.6
u337,31,female,business owner,ios,7.1,1.5,5,6.6,1,13,0,12.9
u338,60,male,professional,android,9.4,1.7,1,7.3,3,57,0,9.9
u339,38,female,business owner,android,6.3,1.7,7,5.3,2,50,4,8.3
u340,33,other,student,ios,4.3,6.8,4,4.2,7,35,6,6.6
u341,34,male,student,android,11.3,3.4,3,8.0,10,56,0,4.6
u342,43,male,business owner,ios,2.6,6.5,7,6.8,1,47,0,2.6
u343,26,other,student,ios,11.1,5.4,7,8.4,4,39,2,13.5
u344,60,female,business owner,android,10.5,2.0,2,7.9,3,49,5,7.2
u345,59,female,professional,ios,6.4,6.5,1,6.1,9,58,3,7.5
u346,37,male,business owner,ios,2.4,6.4,6,6.4,8,54,6,7.2
u347,47,other,professional,android,10.9,6.8,4,8.7,8,52,1,4.9
u348,38,female,professional,android,6.4,7.4,9,7.6,10,15,3,9.3
u349,22,male,freelancer,android,5.3,7.5,8,4.2,9,26,1,2.0
u350,18,male,freelancer,ios,1.7,5.9,3,4.8,6,15,0,10.8
u351,47,other,business owner,ios,5.4,4.6,5,4.3,4,27,2,6.3
u352,57,female,business owner,ios,5.2,1.5,10,5.3,2,32,3,4.0
u353,54,female,business owner,ios,3.7,7.8,3,5.5,8,39,2,13.8
u354,24,male,freelancer,ios,11.5,6.2,2,4.8,8,6,4,10.3
u355,22,female,freelancer,ios,5.6,3.1,9,7.9,7,47,4,5.6
u356,52,female,student,android,4.3,3.9,9,8.9,4,6,5,9.0
u357,31,male,freelancer,android,3.3,3.6,6,4.8,8,57,2,2.0
u358,50,male,professional,android,5.1,3.1,8,5.7,1,50,2,11.6
u359,34,female,professional,android,5.2,5.1,6,6.7,4,42,5,3.0
u360,26,other,business owner,ios,10.8,4.1,9,5.6,5,55,2,12.7
u361,40,male,student,android,3.8,3.1,6,5.1,5,23,3,6.6
u362,22,male,professional,android,5.4,3.3,7,4.1,8,36,6,7.0
u363,33,female,business owner,android,10.2,6.2,8,5.4,6,42,4,12.8
u364,41,female,professional,ios,5.0,4.8,2,5.1,9,53,2,9.8
u365,36,other,business owner,android,5.3,3.1,7,6.8,6,25,5,7.3
u366,28,other,student,android,10.9,3.3,2,6.1,5,44,1,3.9
u367,46,other,business owner,ios,4.3,2.6,8,5.4,1,8,1,11.1
u368,52,male,freelancer,android,6.8,6.2,1,6.4,8,29,6,2.3
u369,37,male,business owner,ios,11.5,5.0,8,4.3,7,36,5,11.0
u370,57,female,business owner,android,3.2,2.6,5,6.3,9,15,0,11.0
u371,59,male,professional,android,5.4,5.7,9,6.0,1,54,2,13.3
u372,51,other,business owner,android,5.1,1.1,9,5.9,2,40,4,9.1
